"Section", "Metadata",
"Data Source","World Development Indicators",
"Last Updated Date","2024-02-21",
"Step size", "year",
"Start", "1960",
"End", "2022",

"Section", "Data",
"Country Code", "Country Name",                                 "1960",                 "1961",                 "1962",                 "1963",                 "1964",                 "1965",                 "1966",                 "1967",                 "1968",                 "1969",                 "1970",                 "1971",                 "1972",                 "1973",                 "1974",                 "1975",                 "1976",                 "1977",                 "1978",                 "1979",                 "1980",                 "1981",                 "1982",                 "1983",                 "1984",                 "1985",                 "1986",                 "1987",                 "1988",                 "1989",                 "1990",                 "1991",                 "1992",                 "1993",                 "1994",                 "1995",                 "1996",                 "1997",                 "1998",                 "1999",                 "2000",                 "2001",                 "2002",                 "2003",                 "2004",                 "2005",                 "2006",                 "2007",                 "2008",                 "2009",                 "2010",                 "2011",                 "2012",                 "2013",                 "2014",                 "2015",                 "2016",                 "2017",                 "2018",                 "2019",                 "2020",                 "2021",                 "2022",
"AUS", "Australia",                                             "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.585094712",          "1.097203891",          "1.768764913",          "1.974611016",          "2.232101254",          "2.759654513",          "3.27524987",           "16.36935838",          "30.81323944",          "40.7837839",           "46.75611561",          "52.68926643",          "",                     "",                     "",                     "63",                   "66",                   "69.45",                "71.67",                "74.25",                "76",                   "79.48769771",          "79",                   "83.45349717",          "84",                   "84.56051491",          "86.54",                "86.54504885",          "90",                   "93.60991916",          "96.39446689",          "96.24",                "",
"AUT", "Austria",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.130369377",          "0.259081553",          "0.642817619",          "0.76534273",           "1.393422968",          "1.890210524",          "6.909162353",          "9.533974317",          "15.42121932",          "23.0443171",           "33.73013295",          "39.18545018",          "36.56",                "42.7",                 "54.28",                "58",                   "63.6",                 "69.37",                "72.87",                "73.45",                "75.17",                "78.7399931",           "80.02999392",          "80.6188",              "80.99582496",          "83.94014193",          "84.32374257",          "87.93558659",          "87.47913723",          "87.75220479",          "87.52942813",          "92.52915104",          "93.61409139",
"AZE", "Azerbaijan",                                            "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0.001431415",          "0.002055556",          "0.006354585",          "0.025187933",          "0.037485109",          "0.099228942",          "0.147757576",          "0.305564638",          "4.999713678",          "",                     "",                     "8.030375356",          "11.99217733",          "14.54",                "17.08",                "27.4",                 "46",                   "50",                   "54.2",                 "73.00000137",          "75.00001564",          "77",                   "78.2",                 "79",                   "79.79999549",          "81.09999907",          "84.59999573",          "86",                   "",
"BDI", "Burundi",                                               "0",                    "",                     "",                     "",                     "",                     "0",                    "",                     "",                     "",                     "",                     "0",                    "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0.000803592",          "0.007979439",          "0.015842776",          "0.039204469",          "0.077248447",          "0.106001245",          "0.118228412",          "0.201273197",          "0.349060462",          "0.542142866",          "0.65759259",           "0.7",                  "0.81",                 "0.9",                  "1",                    "1.11",                 "1.219999945",          "1.264218111",          "1.4",                  "2",                    "2.2",                  "2.660748535",          "2.7",                  "2.731443388",          "3.787954422",          "5.804921577",          "",
"BEL", "Belgium",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.00100674",           "0.020072645",          "0.100041027",          "0.199446059",          "0.69599469",           "0.99166299",           "2.968411647",          "4.93808091",           "7.886622701",          "13.77221446",          "29.43169169",          "31.28839551",          "46.33",                "49.97",                "53.86",                "55.82",                "61.98187002",          "66.76042024",          "68.85732214",          "74.54414555",          "77.63978551",          "81.609996",            "80.71999055",          "82.1702",              "85",                   "85.05294175",          "86.51647666",          "87.67968082",          "88.647343",            "90.27542801",          "91.52641629",          "92.78867618",          "94.00783071",
"BEN", "Benin",                                                 "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0.0016931",            "0.024648796",          "0.047877304",          "0.154906741",          "0.225247851",          "0.36341789",           "0.702945595",          "0.951327115",          "1.182540965",          "1.271031439",          "1.537854346",          "1.79",                 "1.85",                 "2.24",                 "3.13",                 "4.148323066",          "4.5",                  "4.9",                  "6",                    "11.25498791",          "14.5",                 "18.7",                 "19",                   "22.41593843",          "28.22915416",          "33.96533089",          "",
"BFA", "Burkina Faso",                                          "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0.000960519",          "0.018686353",          "0.045423484",          "0.061780293",          "0.077080169",          "0.157732465",          "0.200992598",          "0.373440303",          "0.400295285",          "0.469914489",          "0.632707564",          "0.75",                 "0.92",                 "1.13",                 "2.4",                  "3",                    "3.725034916",          "5",                    "6",                    "6.55",                 "7.14",                 "7.79",                 "8.5",                  "9.27180601",           "13.93797176",          "21.57982734",          "",
"BGD", "Bangladesh",                                            "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "",                     "0.000751046",          "0.003684813",          "0.036170407",          "0.071039423",          "0.129807974",          "0.139920289",          "0.163877665",          "0.199036334",          "0.241637326",          "1",                    "1.8",                  "2.5",                  "3.1",                  "3.7",                  "4.5",                  "5",                    "6.63",                 "11.9",                 "12.9",                 "18.1",                 "19.8",                 "23.44",                "27.76",                "32.87",                "38.91744466",          "",
"BGR", "Bulgaria",                                              "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0.002339042",          "0.019526669",          "0.119665549",          "0.725251167",          "1.219813132",          "1.844965121",          "2.908154025",          "5.370923469",          "7.612297749",          "9.08",                 "12.04",                "18.13",                "19.97",                "27.09",                "33.64",                "39.67",                "45",                   "46.23",                "47.97999305",          "51.89998767",          "53.0615",              "55.49",                "56.65625161",          "59.82554766",          "63.41010138",          "64.78201069",          "67.94698094",          "70.16248359",          "75.27144583",          "79.12686326",
"BHR", "Bahrain",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.346205844",          "0.843254219",          "1.646299202",          "3.218202151",          "4.720358118",          "6.153732546",          "15.03863425",          "18.05072089",          "21.55494499",          "21.45868051",          "21.30373351",          "28.24395243",          "32.91",                "51.95",                "53",                   "55",                   "76.9999665",           "88",                   "90.0000397",           "90.50313348",          "93.4783008",           "97.9999807",           "95.87813575",          "98.64467258",          "99.70150438",          "99.67103159",          "100",                  "",
"BHS", "Bahamas, The",                                          "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.960030721",          "1.746950698",          "1.362953903",          "2.33559071",           "3.764557822",          "8",                    "11.8",                 "18",                   "20",                   "22",                   "25",                   "26",                   "27",                   "31.54",                "33.88",                "43",                   "65",                   "71.74820281",          "72",                   "76.92",                "78",                   "80",                   "80.6",                 "83",                   "90.69327663",          "92.4760204",           "94.29380729",          "",
"BIH", "Bosnia and Herzegovina",                                "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0.015125563",          "0.059425563",          "0.14367106",           "0.1943742",            "1.08296075",           "1.200526951",          "2.648267914",          "3.965036834",          "15.46897162",          "21.326701",            "25.12238569",          "27.92",                "34.66",                "37.74",                "42.75",                "43.88768653",          "45.06450043",          "48.52131417",          "49.91773243",          "52.6",                 "60.25653543",          "64.89202051",          "70.12013504",          "69.94634763",          "73.21175294",          "75.67620138",          "78.8455371",
"BLR", "Belarus",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0.000485951",          "0.002921254",          "0.029298294",          "0.049020891",          "0.073868897",          "0.494881245",          "1.860398126",          "4.300616022",          "8.950971315",          "",                     "",                     "",                     "16.2",                 "19.7",                 "23",                   "27.43",                "31.8",                 "39.64889566",          "46.91",                "54.17",                "59.02",                "62.23036091",          "71.11304576",          "74.43644541",          "79.12988669",          "82.78915209",          "85.08791245",          "86.88841196",          "89.50733148",
"BLZ", "Belize",                                                "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.04539718",           "0.882807327",          "1.288582302",          "2.091516391",          "4.076740564",          "5.963835303",          "",                     "5.684251214",          "",                     "9.8",                  "17",                   "24",                   "24.6",                 "26.3",                 "27.2",                 "28.2",                 "30.7",                 "31",                   "33.6",                 "38.7",                 "41.59",                "44.57574032",          "47.0826258",           "49.8",                 "57.11844188",          "59.50638944",          "61.9941698",           "",
"BMU", "Bermuda",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "6.838163465",          "16.20246602",          "24.18925674",          "32.10375935",          "39.94758876",          "42.94986002",          "47.5096999",           "52.03159737",          "56.52201218",          "60.99086701",          "65.44706579",          "69.89965516",          "74.35059403",          "82.3",                 "83.25",                "84.21",                "88.336",               "91.29930452",          "95.3",                 "96.8",                 "98.32360965",          "98",                   "98.37",                 "",                     "",                    "",                     "",                     "",
"BOL", "Bolivia",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.066807568",          "0.196081174",          "0.447839036",          "0.626484062",          "0.981815187",          "1.442763585",          "2.120462534",          "3.117192947",          "3.508596401",          "4.439924601",          "5.227583957",          "6.200671255",          "10.49924432",          "12.5",                 "16.8",                 "22.4",                 "30",                   "35.34",                "36.99",                "34.6",                 "37.49",                "39.6975146",           "43.83227607",          "44.2861422",           "47.47481911",          "59.94010155",          "65.9773785",           "",
"BRA", "Brazil",                                                "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0.003288171",          "0.012946262",          "0.025498253",          "0.037672709",          "0.105138168",          "0.450789179",          "0.786079155",          "1.477874959",          "2.038732184",          "2.870685159",          "4.528494869",          "9.149425086",          "13.2075861",           "19.07367227",          "21.02274725",          "28.17838018",          "30.88",                "33.83",                "39.22",                "40.65",                "45.69",                "48.56",                "51.04",                "54.55100188",          "58.32795173",          "60.87254007",          "67.47128452",          "70.43428254",          "73.91243991",          "81.34269353",          "80.68989314",          "80.52775094",
"BRB", "Barbados",                                              "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.007752238",          "0.389464214",          "0.783428912",          "1.970249237",          "2.376247035",          "3.973678355",          "11.93645034",          "27.83632242",          "39.68962712",          "49.8",                 "52.5",                 "55.3",                 "58.2",                 "61.4",                 "64.7",                 "65.1",                 "66.5",                 "71.2",                 "71.8",                 "75.16",                "76.11",                "79.54939789",          "81.76077839",          "82.48",                "83.20881332",          "82.458446",            "85.82",                "",
