"Section", "Metadata",
"Data Source","World Development Indicators",
"Last Updated Date","2024-02-21",
"Step size", "year",
"Start", "1960",
"End", "2022",

"Section", "Data",
"Country Code", "Country Name",                                 "1960",                 "1961",                 "1962",                 "1963",                 "1964",                 "1965",                 "1966",                 "1967",                 "1968",                 "1969",                 "1970",                 "1971",                 "1972",                 "1973",                 "1974",                 "1975",                 "1976",                 "1977",                 "1978",                 "1979",                 "1980",                 "1981",                 "1982",                 "1983",                 "1984",                 "1985",                 "1986",                 "1987",                 "1988",                 "1989",                 "1990",                 "1991",                 "1992",                 "1993",                 "1994",                 "1995",                 "1996",                 "1997",                 "1998",                 "1999",                 "2000",                 "2001",                 "2002",                 "2003",                 "2004",                 "2005",                 "2006",                 "2007",                 "2008",                 "2009",                 "2010",                 "2011",                 "2012",                 "2013",                 "2014",                 "2015",                 "2016",                 "2017",                 "2018",                 "2019",                 "2020",                 "2021",                 "2022",
"CUW", "Curacao",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "61.85551074",          "68.12721625",          "",                     "",                     "",                     "",                     "",
"CYM", "Cayman Islands",                                        "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "3.948967193",          "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "38.03438308",          "44.5",                 "52",                   "61",                   "64.5",                 "66",                   "69.46594499",          "69.7",                 "71.4",                 "74.1",                 "77",                   "79",                   "81.06769325",          "",                     "",                     "",                     "",                     "",
"CYP", "Cyprus",                                                "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0.05006043",           "0.056367482",          "0.111034621",          "0.410120685",          "0.673343541",          "4.378272095",          "8.890539159",          "11.34239866",          "15.25539437",          "18.81875904",          "28.32",                "30.09",                "33.83",                "32.81",                "35.83",                "40.77",                "42.31",                "49.81",                "52.99",                "56.85989235",          "60.6898684",           "65.4548",              "69.33",                "71.71574092",          "75.9002054",           "80.74318897",          "84.43358252",          "86.06362996",          "90.80194644",          "90.75951564",          "89.60095366",
"CZE", "Czechia",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0.581319529",          "1.259217838",          "1.45357584",           "1.940378193",          "2.915698695",          "3.895906065",          "6.832802018",          "9.780527888",          "14.69717212",          "23.93",                "34.3",                 "35.5",                 "35.27",                "47.93",                "51.93",                "62.97",                "64.43",                "68.82",                "70.49",                "73.43000782",          "74.1104",              "74.23171164",          "75.6688387",           "76.4811987",           "78.71917285",          "80.68816754",          "80.86694441",          "81.33889705",          "82.67062427",          "84.54009378",
"DEU", "Germany",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.125892223",          "0.250274153",          "0.43528529",           "0.463635096",          "0.922541043",          "1.837737754",          "3.054805234",          "6.711087477",          "9.877852428",          "20.84598264",          "30.2163466",           "31.65093942",          "48.82",                "55.9",                 "64.73",                "68.71",                "72.16",                "75.16",                "78",                   "79",                   "82",                   "81.26999954",          "82.34999847",          "84.17",                "86.19",                "87.58979935",          "84.16520664",          "84.3941537",           "87.03711209",          "88.13451691",          "89.81294133",          "91.43060973",          "91.62984383",
"DJI", "Djibouti",                                              "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.01603083",           "0.031166241",          "0.082941498",          "0.094696004",          "0.105761909",          "0.194500528",          "0.343526263",          "0.486971705",          "0.625940229",          "0.781317175",          "0.953611449",          "1.270041159",          "1.62",                 "2.26",                 "4",                    "6.5",                  "7",                    "9.4",                  "12.7",                 "17",                   "22.9",                 "30.8",                 "55.68140925",          "58",                   "59.34196605",          "61.26152265",          "68.86318451",          "",
"DMA", "Dominica",                                              "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.548762737",          "1.165518146",          "",                     "2.925345191",          "2.932164377",          "8.814844198",          "13.24522804",          "18.42489277",          "23.62041985",          "30.31961309",          "38.54364326",          "39.3981743",           "40.27446301",          "41.16",                "42.02",                "47.45",                "48.6",                 "49.8",                 "51",                   "57.5",                 "65",                   "67.03",                "69.61966879",          "",                     "73.38194848",          "77.0650479",           "80.93300506",          "",
"DNK", "Denmark",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.097277268",          "0.194056515",          "0.386913951",          "0.578329976",          "1.34430775",           "3.82565642",           "5.714987841",          "11.38200494",          "22.66874615",          "30.59204065",          "39.17243086",          "42.95752472",          "64.25",                "76.26",                "80.93",                "82.74",                "86.65",                "85.03",                "85.02",                "86.84",                "88.72",                "89.81001339",          "92.26001172",          "94.6297",              "95.99",                "96.33050162",          "96.96778525",          "97.09936216",          "97.31920437",          "98.04643475",          "96.54914573",          "98.8658506",           "97.86011812",
"DOM", "Dominican Republic",                                    "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.017233601",          "0.074987053",          "0.142687565",          "0.233914189",          "1.104743874",          "3.704692356",          "4.429390697",          "6.823725733",          "7.898392937",          "8.865553461",          "11.48319778",          "14.84492837",          "17.66",                "20.82",                "27.72",                "31.4",                 "38",                   "42.32",                "45.9",                 "49.58",                "54.21576634",          "63.87086474",          "67.57124533",          "74.82204836",          "79.71545398",          "82.19830578",          "85.24298638",          "",
"DZA", "Algeria",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0.000360674",          "0.001768954",          "0.001738533",          "0.010268463",          "0.020238555",          "0.199523843",          "0.491705679",          "0.646114017",          "1.59164126",           "2.195359731",          "4.634475088",          "5.843942092",          "7.375984956",          "9.451T626",            "10.18",                "11.23",                "12.5",                 "14.9",                 "18.2",                 "22.5",                 "29.5",                 "38.2",                 "42.94552688",          "47.69105515",          "49.03846808",          "58.97757455",          "63.94999611",          "70.77",                "",
"ECU", "Ecuador",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0.005118035",          "0.016400751",          "0.034833586",          "0.043833641",          "0.086161276",          "0.110217959",          "0.125272771",          "0.823371634",          "1.462188536",          "2.670443674",          "4.260796915",          "4.460228345",          "4.834442638",          "5.994255161",          "7.2",                  "10.8",                 "18.8",                 "24.6",                 "29.03",                "31.36680836",          "35.13514645",          "40.27912194",          "45.59039067",          "48.94043379",          "54.06292473",          "55.8",                 "57.5",                 "59.2",                 "70.7",                 "76.20289766",          "69.71811352",
"EGY", "Egypt, Arab Rep.",                                      "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0.000975791",          "0.00638327",           "0.031319638",          "0.061466899",          "0.090480245",          "0.147987377",          "0.290445278",          "0.641265038",          "0.838945611",          "2.719999715",          "4.037885107",          "11.92",                "12.75",                "13.66",                "16.03",                "18.01",                "20",                   "21.6",                 "25.6",                 "26.4",                 "29.4",                 "33.89460391",          "37.81938343",          "41.24806709",          "44.95020425",          "46.92433677",          "57.2828664",           "71.91420096",          "72.06",                "72.19806524",
"ERI", "Eritrea",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0.009017718",          "0.008774236",          "0.025495028",          "0.136711941",          "0.157815289",          "0.227090138",          "",                     "",                     "",                     "",                     "0.41",                 "0.47",                 "0.54",                 "0.61",                 "0.7",                  "0.8",                  "0.9",                  "0.99",                 "1.083733116",          "1.17711872",           "1.30890698",           "",                     "8.832308384",          "14.17998705",          "21.73038628",          "",
"ESP", "Spain",                                                 "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.012873564",          "0.025686194",          "0.076845453",          "0.127689668",          "0.280069738",          "0.380800728",          "1.331847404",          "2.803319625",          "4.361892394",          "7.085039678",          "13.62496081",          "18.14872269",          "20.39",                "39.93",                "44.01",                "47.88",                "50.37",                "55.11",                "59.6",                 "62.4",                 "65.8",                 "67.08999939",          "69.80999994",          "71.635",               "76.19",                "78.68963187",          "80.56133294",          "84.6022457",           "86.10723553",          "90.71866533",          "93.20564892",          "93.89752157",          "94.4855432",
"EST", "Estonia",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0.065484797",          "0.300711282",          "1.159750913",          "2.778968489",          "3.525111129",          "5.706276548",          "10.79603483",          "14.50089724",          "28.57695381",          "31.52748977",          "41.52",                "45.32",                "53.2",                 "61.45",                "63.51",                "66.19",                "70.58",                "72.5",                 "74.1",                 "76.5",                 "78.38992593",          "80.0043",              "84.24152803",          "88.4097035",           "87.24023275",          "88.10245687",          "89.35700777",          "90.2289282",           "89.05828666",          "90.97970174",          "91.02128973",
"ETH", "Ethiopia",                                              "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "1.75E-05",             "0.001703448",          "0.00496672",           "0.009663517",          "0.012541599",          "0.015263767",          "0.037162381",          "0.072402262",          "0.105811659",          "0.155334521",          "0.219659819",          "0.310592657",          "0.37",                 "0.45",                 "0.54",                 "0.75",                 "1.1",                  "2.9",                  "4.6",                  "7.7",                  "13.85517556",          "15.36692386",          "15.6",                 "15.9",                 "16.15232553",          "16.42294727",          "16.6981031",           "",
"FIN", "Finland",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.40108767",           "1.397439332",          "1.88687977",           "2.568461349",          "4.915098554",          "13.90030389",          "16.78007526",          "19.4586828",           "25.45252493",          "32.29509229",          "37.24846174",          "43.10536335",          "62.43",                "69.22",                "72.39",                "74.48",                "79.66",                "80.78",                "83.67",                "82.49",                "86.89",                "88.70999491",          "89.87999797",          "91.5144",              "86.53039275",          "86.42213333",          "87.70364996",          "87.46892907",          "88.88996",             "89.60738511",          "92.17027106",          "92.80806082",          "92.98879471",
"FJI", "Fiji",                                                  "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0.006678447",          "0.007907399",          "0.009115343",          "0.064437142",          "0.223454842",          "0.633167865",          "0.942462063",          "1.496854734",          "1.857978594",          "6.1526497",            "6.725434738",          "7.412943485",          "8.453636634",          "9.6000384",            "10.89783105",          "13",                   "17",                   "20",                   "28",                   "33.74235675",          "35.2",                 "37.4",                 "42.5",                 "49.42",                "65.78",                "68.9",                 "77.18669679",          "84.8767809",           "87.65996651",          "",
"FRA", "France",                                                "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.052777862",          "0.140113895",          "0.279049463",          "0.590619383",          "0.899867425",          "1.637947245",          "2.584033979",          "4.255003872",          "6.319778722",          "9.125317889",          "14.30792394",          "26.32590355",          "30.18",                "36.14",                "39.15",                "42.87",                "46.87",                "66.09",                "70.68",                "71.58",                "77.28",                "77.81999899",          "81.44",                "81.9198",              "83.75",                "78.00603771",          "79.26981132",          "80.50245972",          "82.04318678",          "83.33974409",          "84.70640914",          "86.09548575",          "85.33331549",
"FRO", "Faroe Islands",                                         "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "2.318786811",          "4.601297566",          "11.33786848",          "22.29753835",          "32.91639236",          "43.24698352",          "53.29922183",          "58.91264097",          "66.53359947",          "67.90263174",          "69.35944512",          "75.98",                "75.57",                "75.18",                "75.2",                 "80.7321728",           "85.33518924",          "90",                   "93.3",                 "94.2",                 "95.10868167",          "97.58195894",          "",                     "",                     "",                     "",                     "",
"FSM", "Micronesia, Fed. Sts.",                                 "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0.278037795",          "0.570676845",          "1.858718785",          "2.797594069",          "3.734862137",          "4.660527199",          "5.570099705",          "9.2325021",            "11.01786731",          "11.8813691",           "12.75033925",          "13.62113273",          "14.49",                "15.35",                "20",                   "22.8",                 "25.974423",            "27.8",                 "29.65",                "31.50108128",          "33.35216255",          "35.30405287",          "",                     "39.85125701",          "40.12946709",          "40.40961941",          "",
"GAB", "Gabon",                                                 "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "0.047999009",          "0.17012488",           "0.249009564",          "1.216140618",          "1.347620222",          "1.939530106",          "2.659586594",          "2.9790698",            "4.89326475",           "5.489200803",          "5.767004576",          "7.5",                  "9.5",                  "13",                   "18",                   "24",                   "30.53803344",          "38.07120929",          "45.78453653",          "48.05227375",          "50.32012015",          "59.6",                 "68.68550299",          "70.78874796",          "71.74940641",          "",
"GBR", "United Kingdom",                                        "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0.087355319",          "0.174230922",          "0.260615159",          "0.519762001",          "1.036609166",          "1.895168284",          "4.123650336",          "7.385398957",          "13.6699831",           "21.29363827",          "26.82175435",          "33.48109487",          "56.48",                "64.82",                "65.61",                "70",                   "68.82",                "75.09",                "78.39",                "83.56",                "85",                   "85.37999855",          "87.47999842",          "89.8441",              "91.61",                "92.00029987",          "94.77580063",          "90.42455049",          "90.69200899",          "92.51662855",          "94.81820132",          "96.68023657",          "",
"GEO", "Georgia",                                               "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.011836885",          "0.040065419",          "0.060930333",          "0.102830957",          "0.416343567",          "0.484746299",          "0.992344436",          "1.58787563",           "2.558816481",          "3.886221354",          "6.079457629",          "7.526876845",          "8.26",                 "10.01",                "20.07",                "26.9",                 "31.52",                "36.94",                "43.3",                 "44",                   "47.56975964",          "58.45928961",          "59.7055046",           "62.7179082",           "68.84671356",          "72.53157487",          "76.44271451",          "78.71127536",
"GHA", "Ghana",                                                 "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.000347918",          "0.005648763",          "0.027537542",          "0.032240443",          "0.104895466",          "0.153615298",          "0.20000806",           "0.830284034",          "1.193057911",          "1.716797704",          "1.831197461",          "2.723175973",          "3.85",                 "4.27",                 "5.44",                 "7.8",                  "9",                    "10.6",                 "15",                   "19",                   "23",                   "28",                   "37.88415262",          "43",                   "45.00963073",          "56.68215981",          "68.2",                 "",
"GIB", "Gibraltar",                                             "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "",                     "2.662907268",          "4.183794329",          "5.936978297",          "19.13163812",          "21.17110944",          "23.67023975",          "28.32577979",          "32.88608261",          "39.07013088",          "45.29864751",          "51.61",                "58",                   "65.07",                "65",                   "65",                   "65.017",               "",                     "",                     "",                     "94.44447158",          "",                     "",                     "",                     "",                     "",                     "",
"GIN", "Guinea",                                                "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0.000138318",          "0.000668589",          "0.001948942",          "0.003803109",          "0.006203369",          "0.060808919",          "0.095424924",          "0.175541868",          "0.402022749",          "0.450960371",          "0.508819332",          "0.542254181",          "0.637492123",          "0.780025279",          "0.92",                 "0.94",                 "1",                    "2",                    "3.1",                  "4.5",                  "6.4",                  "9.2",                  "13.1",                 "18.7",                 "21.83002304",          "23.36626025",          "28.8232306",           "34.68012393",          "",
"GMB", "Gambia, The",                                           "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0.009217541",          "0.03550736",           "0.051311347",          "0.206094461",          "0.715827015",          "0.921794919",          "1.336791166",          "1.796779883",          "2.436781193",          "3.308003478",          "3.799001139",          "5.237691158",          "6.205037419",          "6.88",                 "7.63",                 "9.2",                  "10.8703",              "12.44922872",          "14",                   "15.56",                "17.6",                 "19.9",                 "22.5",                 "25.5",                 "28.80487199",          "31.60419095",          "32.96228971",          "",
"GNB", "Guinea-Bissau",                                         "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "",                     "0",                    "0",                    "0",                    "0",                    "0",                    "0",                    "",                     "0.016389063",          "0.024060421",          "0.117702448",          "0.230103171",          "0.299569145",          "1.022993234",          "1.354197478",          "1.808142203",          "1.901365316",          "2.057196705",          "2.206302237",          "2.354888711",          "2.303280592",          "2.45",                 "2.672",                "2.893990621",          "3.1",                  "3.32",                 "6.1",                  "13.8",                 "14.8",                 "15.7",                 "22.92009029",          "27.90528061",          "35.15498736",          "",
